p1                        p2     rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
dbp_ukb_v1_2016.txt.sumstats.gz  whr_giant_2015.txt.sumstats.gz  0.2174  0.0388  5.6095  2.0289e-08  0.1012     0.0063  0.8296     0.0078   -0.0002       0.0054
dbp_ukb_v1_2016.txt.sumstats.gz  whradjbmi_giant_2015.txt.sumstats.gz  0.1013  0.0376  2.6933  0.0071  0.0916     0.0076  0.8555     0.0094    -0.003       0.0053
eduyears_ssgac_2016.txt.sumstats.gz  AD_meta2.smy.sumstats.gz -0.0254  0.0435 -0.5839  0.5593  0.0075     0.0047  1.0784     0.0573    0.0114       0.0054
eduyears_ssgac_2016.txt.sumstats.gz  GWAS_tanning_UKBB.ma.sumstats.gz  0.0067  0.0135  0.4966  0.6195  0.1555     0.0695  1.0002     0.0492    -0.016       0.0044
eduyears_ssgac_2016.txt.sumstats.gz  MEGASTROKE.1.AS.TRANS.out.sumstats.gz -0.2585  0.0312 -8.2868  1.1632e-16  0.0129     0.0012  1.0404     0.0068    -0.006        0.005
eduyears_ssgac_2016.txt.sumstats.gz  META_ANALYSIS_10K23_beta_se_correctGC1_pdgene_sharing_280317.ma.sumstats.gz  0.157  0.0359  4.3708  1.2379e-05  0.0592     0.0092  0.9765     0.0087    0.0082       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  alzheimers_igap_2013.txt.sumstats.gz -0.3304  0.0827 -3.9945  6.4844e-05  0.0439     0.0208   1.067     0.0293    0.0005       0.0054
eduyears_ssgac_2016.txt.sumstats.gz  amd_csg_2016.txt.sumstats.gz -0.0618  0.0331 -1.868  0.0618  0.3866     0.1734  0.9205       0.04    0.0087       0.0053
eduyears_ssgac_2016.txt.sumstats.gz  asd_robinson_2015.txt.sumstats.gz  0.2765  0.0375  7.3802  1.5802e-13  0.1575     0.0182  0.9653     0.0068   -0.0015       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  baso_cam_2016.txt.sumstats.gz -0.0367  0.0276 -1.3265  0.1847   0.071     0.0094  0.9987     0.0168   -0.0008       0.0056
eduyears_ssgac_2016.txt.sumstats.gz  baso_neut_sum_cam_2016.txt.sumstats.gz -0.0952  0.0206 -4.6151  3.9292e-06  0.1583     0.0188  0.9572     0.0206   -0.0121       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  baso_p_cam_2016.txt.sumstats.gz  0.0166  0.0287  0.5776  0.5636  0.0547     0.0089  1.0043     0.0174    0.0041       0.0052
eduyears_ssgac_2016.txt.sumstats.gz  baso_p_gran_cam_2016.txt.sumstats.gz  0.0304  0.0278  1.0947  0.2737  0.0569     0.0083  0.9995     0.0155    0.0047       0.0052
eduyears_ssgac_2016.txt.sumstats.gz  bip_pgc_2014.txt.sumstats.gz  0.2043  0.0315  6.49  8.5847e-11   0.372     0.0323  1.0246     0.0079    0.0049       0.0057
eduyears_ssgac_2016.txt.sumstats.gz  bmi_giant_2015.txt.sumstats.gz -0.2659  0.02 -13.3031  2.2215e-40  0.1378     0.0077  0.6471     0.0096   -0.0247       0.0059
eduyears_ssgac_2016.txt.sumstats.gz  cad_cardiogram_2015.txt.sumstats.gz -0.2861  0.0247 -11.5846  4.9340e-31  0.0674     0.0051  0.8838      0.008   -0.0062       0.0049
eduyears_ssgac_2016.txt.sumstats.gz  cd_iibdgc_2015.txt.sumstats.gz -0.0664  0.035 -1.8971  0.0578    0.38     0.0438  1.0217     0.0118   -0.0106       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_ALLERGIC_RHINITIS_1000g_m01_u05_geno.txt.sumstats.gz  0.0888  0.0415  2.1386  0.0325  0.0216     0.0041  1.0043     0.0072    0.0107       0.0054
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_ASTHMA_1000g_m01_u05_geno.txt.sumstats.gz -0.1437  0.0293 -4.8976  9.6993e-07  0.0559     0.0063  1.0067     0.0099   -0.0007       0.0056
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_CANCER_1000g_m01_u05_geno.txt.sumstats.gz -0.036  0.0428 -0.8406  0.4006   0.025     0.0044  0.9991     0.0083    0.0036        0.005
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_CARD_1000g_m01_u05_geno.txt.sumstats.gz -0.2927  0.0393 -7.4538  9.0708e-14  0.0311     0.0035  0.9972     0.0071   -0.0299       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_DEPRESS_1000g_m01_u05_geno.txt.sumstats.gz -0.1986  0.0444 -4.4744  7.6613e-06  0.0239     0.0031  1.0055     0.0063   -0.0094       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_DERMATOPHYTOSIS_1000g_m01_u05_geno.txt.sumstats.gz  0.1303  0.0833  1.5636  0.1179  0.0179     0.0089  1.0016     0.0063    0.0008       0.0054
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_DIA2_1000g_m01_u05_geno.txt.sumstats.gz -0.328  0.0336 -9.7728  1.4731e-22  0.0515     0.0042  1.0423     0.0088   -0.0134       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_DYSLIPID_1000g_m01_u05_geno.txt.sumstats.gz -0.2622  0.0308 -8.5186  1.6143e-17  0.0694     0.0079   1.028     0.0164   -0.0273       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_HEMORRHOIDS_1000g_m01_u05_geno.txt.sumstats.gz -0.1985  0.0706 -2.8098  0.005  0.0094     0.0032  1.0018     0.0062   -0.0011       0.0056
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_HERNIA_ABDOMINOPELVIC_1000g_m01_u05_geno.txt.sumstats.gz -0.22  0.0545 -4.0327  5.5130e-05  0.0173     0.0035  1.0092     0.0065   -0.0168       0.0053
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_HYPER_1000g_m01_u05_geno.txt.sumstats.gz -0.3312  0.0245 -13.511  1.3474e-41   0.123     0.0059  1.0171     0.0093    -0.029       0.0066
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_INSOMNIA_1000g_m01_u05_geno.txt.sumstats.gz -0.0714  0.062 -1.1519  0.2493  0.0102     0.0028  0.9923     0.0064   -0.0094       0.0059
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_IRON_DEFICIENCY_1000g_m01_u05_geno.txt.sumstats.gz -0.2087  0.1133 -1.8422  0.0654  0.0045     0.0027  1.0057     0.0064   -0.0072       0.0047
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_IRRITABLE_BOWEL_1000g_m01_u05_geno.txt.sumstats.gz -0.1826  0.0601 -3.0378  0.0024  0.0103     0.0028  0.9999     0.0064   -0.0022       0.0052
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_MACDEGEN_1000g_m01_u05_geno.txt.sumstats.gz  0.0798  0.0621  1.2845  0.199  0.0132     0.0078  1.0069     0.0112   -0.0069        0.006
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_OSTIOA_1000g_m01_u05_geno.txt.sumstats.gz -0.3723  0.0382 -9.7456  1.9259e-22  0.0327     0.0035  1.0202     0.0069   -0.0118       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_OSTIOP_1000g_m01_u05_geno.txt.sumstats.gz  0.1192  0.04  2.9784  0.0029  0.0247     0.0035  1.0091     0.0073   -0.0076       0.0047
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_PEPTIC_ULCERS_1000g_m01_u05_geno.txt.sumstats.gz -0.4525  0.114 -3.9679  7.2497e-05  0.0066     0.0028  0.9992      0.006   -0.0147       0.0057
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_PSYCHIATRIC_1000g_m01_u05_geno.txt.sumstats.gz -0.1327  0.0524 -2.5315  0.0114  0.0165     0.0029  1.0085     0.0063   -0.0089       0.0056
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_PVD_1000g_m01_u05_geno.txt.sumstats.gz -0.3253  0.0894 -3.6374  0.0003  0.0076     0.0027  1.0135     0.0062   -0.0164       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_STRESS_1000g_m01_u05_geno.txt.sumstats.gz -0.3277  0.1201 -2.7279  0.0064  0.0055      0.003  0.9983     0.0065   -0.0032       0.0059
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_SUM_DISEASES_1000g_m01_u05_geno.txt.sumstats.gz -0.4138  0.0234 -17.6595  8.6022e-70  0.0809     0.0045  1.0312     0.0081   -0.0382       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  combined_ukb_gera_VARICOSE_VEINS_1000g_m01_u05_geno.txt.sumstats.gz -0.1353  0.0506 -2.6731  0.0075  0.0161     0.0032  1.0148     0.0078   -0.0002       0.0051
eduyears_ssgac_2016.txt.sumstats.gz  dbp_ukb_v1_2016.txt.sumstats.gz -0.1787  0.0262 -6.8313  8.4165e-12  0.1339     0.0082  1.0155     0.0087   -0.0244       0.0051
eduyears_ssgac_2016.txt.sumstats.gz  depressive_symptoms_ssgac_2016.txt.sumstats.gz -0.3253  0.0363 -8.9699  2.9667e-19  0.0473     0.0037  0.9997      0.007   -0.0432       0.0065
eduyears_ssgac_2016.txt.sumstats.gz  eduyears_ssgac_2016.txt.sumstats.gz  1.0  7.6948e-07  1.2996e+06  0.0  0.1131      0.004  0.9263       0.01    0.9263         0.01
eduyears_ssgac_2016.txt.sumstats.gz  eduyears_ssgac_2016_pruned.txt.sumstats.gz  1.0084  0.0053  190.7193  0.0  0.4611     0.0551  12.5132     0.2915   11.4701       0.2844
eduyears_ssgac_2016.txt.sumstats.gz  eo_baso_sum_cam_2016.txt.sumstats.gz  0.0185  0.0192  0.96  0.3371   0.172     0.0211  0.9643     0.0253    0.0006       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  eo_cam_2016.txt.sumstats.gz  0.0296  0.0189  1.5701  0.1164  0.1809     0.0222  0.9592      0.027   -0.0002        0.006
eduyears_ssgac_2016.txt.sumstats.gz  eo_p_cam_2016.txt.sumstats.gz  0.0606  0.0187  3.2463  0.0012  0.1754     0.0206  0.9568      0.026    0.0032       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  eo_p_gran_cam_2016.txt.sumstats.gz  0.068  0.019  3.5744  0.0004  0.1697     0.0194  0.9546     0.0244    0.0051       0.0059
eduyears_ssgac_2016.txt.sumstats.gz  gran_cam_2016.txt.sumstats.gz -0.09  0.0208 -4.3244  1.5297e-05  0.1586     0.0186  0.9598     0.0206   -0.0121       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  gran_p_myeloid_wbc_cam_2016.txt.sumstats.gz -0.0342  0.0208 -1.6391  0.1012  0.1556     0.0178  1.0154     0.0296   -0.0065       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  hct_cam_2016.txt.sumstats.gz -0.0477  0.0258 -1.8471  0.0647  0.1311     0.0118  1.0071     0.0235   -0.0226       0.0064
eduyears_ssgac_2016.txt.sumstats.gz  hdl_glgc_2013.txt.sumstats.gz  0.1717  0.0203  8.4586  2.7052e-17  0.2365     0.0363  0.8107     0.0272    0.0061       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  height_giant_2014.txt.sumstats.gz  0.1323  0.0167  7.9102  2.5691e-15  0.3427     0.0176   1.227       0.03    0.0476       0.0081
eduyears_ssgac_2016.txt.sumstats.gz  hgb_cam_2016.txt.sumstats.gz -0.0329  0.0255 -1.2928  0.1961    0.13     0.0114  1.0066     0.0227   -0.0199       0.0064
eduyears_ssgac_2016.txt.sumstats.gz  hlr_cam_2016.txt.sumstats.gz -0.0283  0.0212 -1.3386  0.1807  0.1643     0.0178  1.0221     0.0399   -0.0146       0.0064
eduyears_ssgac_2016.txt.sumstats.gz  hlr_p_cam_2016.txt.sumstats.gz -0.0281  0.0214 -1.3181  0.1875  0.1642     0.0174  1.0207     0.0401   -0.0119       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  icv_enigma_2016.txt.sumstats.gz  0.3108  0.0371  8.3846  5.0894e-17  0.2533     0.0276  1.0218     0.0078    0.0163       0.0066
eduyears_ssgac_2016.txt.sumstats.gz  icv_reported_enigma_2016.txt.sumstats.gz  NA  NA  NA  NA     NA        NA     NA        NA       NA          NA
eduyears_ssgac_2016.txt.sumstats.gz  input.sumstats.gz -0.0203  0.0389 -0.5231  0.6009  0.0755     0.0181   1.025     0.0114   -0.0002       0.0053
eduyears_ssgac_2016.txt.sumstats.gz  iq_ukb_bolt_2017.txt.sumstats.gz  0.6507  0.0166  39.1638  0.0  0.3012      0.012  1.0482     0.0112    0.0661       0.0076
eduyears_ssgac_2016.txt.sumstats.gz  iq_vu_2017.txt.sumstats.gz  0.7021  0.0205  34.2954  9.1998e-258  0.1943     0.0106   1.016     0.0078    0.1341       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  irf_cam_2016.txt.sumstats.gz -0.0261  0.0233 -1.1208  0.2624  0.1169     0.0134  1.0255     0.0358   -0.0068        0.006
eduyears_ssgac_2016.txt.sumstats.gz  ldl_glgc_2013.txt.sumstats.gz -0.0934  0.0268 -3.4875  0.0005  0.2005     0.0489  0.8853     0.0576   -0.0058       0.0066
eduyears_ssgac_2016.txt.sumstats.gz  lymph_cam_2016.txt.sumstats.gz -0.0233  0.019 -1.2271  0.2198  0.1835     0.0142  0.9664     0.0197   -0.0028       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  lymph_p_cam_2016.txt.sumstats.gz  0.0507  0.0206  2.4562  0.014  0.1469     0.0114  0.9649     0.0157    0.0086       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  mch_cam_2016.txt.sumstats.gz -0.0179  0.0207 -0.8641  0.3875  0.2233     0.0254  0.9945     0.0369    0.0023       0.0064
eduyears_ssgac_2016.txt.sumstats.gz  mchc_cam_2016.txt.sumstats.gz  0.0535  0.0258  2.072  0.0383  0.0926     0.0103   0.982      0.017      0.01        0.006
eduyears_ssgac_2016.txt.sumstats.gz  mcv_cam_2016.txt.sumstats.gz -0.0356  0.0214 -1.6613  0.0967  0.2383     0.0252  0.9911     0.0339   -0.0028       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  mdd_pgc_mega_2013.txt.sumstats.gz -0.0858  0.0473 -1.8128  0.0699  0.1675     0.0259  1.0063     0.0061   -0.0047       0.0051
eduyears_ssgac_2016.txt.sumstats.gz  mono_cam_2016.txt.sumstats.gz -0.0457  0.0212 -2.1577  0.031  0.1871     0.0218  1.0446     0.0335   -0.0033        0.006
eduyears_ssgac_2016.txt.sumstats.gz  mono_p_cam_2016.txt.sumstats.gz  0.0174  0.0199  0.8765  0.3808   0.169     0.0206  1.0328     0.0345    0.0048       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  mpv_cam_2016.txt.sumstats.gz -0.0301  0.0205 -1.4712  0.1412  0.2629     0.0382  1.0017     0.0478   -0.0015       0.0068
eduyears_ssgac_2016.txt.sumstats.gz  myeloid_wbc_cam_2016.txt.sumstats.gz -0.0896  0.0207 -4.3325  1.4743e-05  0.1623     0.0179  0.9629       0.02   -0.0121       0.0062
eduyears_ssgac_2016.txt.sumstats.gz  neuroticism_ssgac_2016.txt.sumstats.gz -0.252  0.0302 -8.3457  7.0804e-17  0.0891     0.0075  0.9897     0.0118   -0.0556       0.0065
eduyears_ssgac_2016.txt.sumstats.gz  neut_cam_2016.txt.sumstats.gz -0.0944  0.0206 -4.5805  4.6378e-06  0.1578     0.0186  0.9575     0.0204   -0.0122       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  neut_eo_sum_cam_2016.txt.sumstats.gz -0.0895  0.0208 -4.3044  1.6746e-05  0.1582     0.0184  0.9598     0.0204   -0.0119       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  neut_p_cam_2016.txt.sumstats.gz -0.0645  0.0212 -3.0344  0.0024  0.1404      0.012  0.9551     0.0166   -0.0093        0.006
eduyears_ssgac_2016.txt.sumstats.gz  neut_p_gran_cam_2016.txt.sumstats.gz -0.0649  0.0191 -3.404  0.0007  0.1588     0.0179  0.9532     0.0218    -0.006        0.006
eduyears_ssgac_2016.txt.sumstats.gz  pct_cam_2016.txt.sumstats.gz -0.0351  0.0213 -1.65  0.0989   0.204      0.017  1.0095     0.0249   -0.0041       0.0068
eduyears_ssgac_2016.txt.sumstats.gz  pdw_cam_2016.txt.sumstats.gz -0.0167  0.0203 -0.8235  0.4102  0.1661     0.0207  0.9916     0.0313    0.0036       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  plt_cam_2016.txt.sumstats.gz -0.0152  0.0199 -0.7641  0.4448   0.229     0.0178  0.9923     0.0267   -0.0031       0.0067
eduyears_ssgac_2016.txt.sumstats.gz  ra_okada_2014.txt.sumstats.gz -0.2136  0.0358 -5.9686  2.3924e-09  0.1145     0.0204  0.9426     0.0119   -0.0138       0.0052
eduyears_ssgac_2016.txt.sumstats.gz  rbc_cam_2016.txt.sumstats.gz -0.0095  0.025 -0.3796  0.7043  0.1878     0.0177  0.9983      0.025   -0.0171       0.0066
eduyears_ssgac_2016.txt.sumstats.gz  rdw_cam_2016.txt.sumstats.gz -0.0357  0.0209 -1.7085  0.0876  0.1877      0.023  0.9636     0.0295    0.0004       0.0065
eduyears_ssgac_2016.txt.sumstats.gz  ret_cam_2016.txt.sumstats.gz -0.0311  0.0214 -1.4532  0.1462  0.1692     0.0193   1.013     0.0401   -0.0156       0.0064
eduyears_ssgac_2016.txt.sumstats.gz  ret_p_cam_2016.txt.sumstats.gz -0.0294  0.0217 -1.3537  0.1758  0.1684     0.0191  1.0088     0.0402   -0.0124       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  sbp_ukb_v1_2016.txt.sumstats.gz -0.1896  0.0248 -7.6361  2.2397e-14  0.1232     0.0077  1.0201     0.0075   -0.0317       0.0056
eduyears_ssgac_2016.txt.sumstats.gz  scz_pgc_2014.txt.sumstats.gz  0.0946  0.0202  4.6768  2.9143e-06  0.2448     0.0086  1.0344     0.0105   -0.0181       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  t2d_diagram_2017.txt.sumstats.gz -0.2257  0.0294 -7.6722  1.6908e-14  0.0776     0.0058  0.9993     0.0097    -0.022       0.0052
eduyears_ssgac_2016.txt.sumstats.gz  tg_glgc_2013.txt.sumstats.gz -0.1647  0.025 -6.5901  4.3941e-11  0.2701     0.0577  0.7566     0.0352   -0.0105       0.0058
eduyears_ssgac_2016.txt.sumstats.gz  uc_iibdgc_2015.txt.sumstats.gz  0.0083  0.0401  0.2073  0.8358  0.2585     0.0319  1.0461     0.0096   -0.0082       0.0055
eduyears_ssgac_2016.txt.sumstats.gz  ukbEUR_IPAQG_cojo.txt.sumstats.gz  0.1461  0.0284  5.1506  2.5972e-07  0.0369     0.0018  1.0163     0.0077    0.0128       0.0066
eduyears_ssgac_2016.txt.sumstats.gz  ukbEUR_SI_cojo.txt.sumstats.gz -0.3238  0.0199 -16.2519  2.1645e-59   0.099     0.0034  1.0315     0.0107   -0.0275       0.0075
eduyears_ssgac_2016.txt.sumstats.gz  wbc_cam_2016.txt.sumstats.gz -0.0824  0.02 -4.1125  3.9145e-05  0.1773     0.0166  0.9646     0.0191   -0.0109       0.0063
eduyears_ssgac_2016.txt.sumstats.gz  well_being_ssgac_2016.txt.sumstats.gz  0.1289  0.0342  3.7711  0.0002  0.0364      0.003  1.0009     0.0072     0.022       0.0061
eduyears_ssgac_2016.txt.sumstats.gz  well_being_ssgac_2016_pruned.txt.sumstats.gz  0.6197  0.1647  3.7638  0.0002  0.1806      0.017  7.2504     0.0609     0.064         0.11
eduyears_ssgac_2016.txt.sumstats.gz  whr_giant_2015.txt.sumstats.gz -0.3298  0.0243 -13.5887  4.6743e-42  0.1015     0.0063  0.8294      0.008   -0.0316        0.005
eduyears_ssgac_2016.txt.sumstats.gz  whradjbmi_giant_2015.txt.sumstats.gz -0.1992  0.0249 -7.9934  1.3127e-15   0.092     0.0073  0.8544     0.0091   -0.0208       0.0049
hdl_glgc_2013.txt.sumstats.gz  AD_meta2.smy.sumstats.gz  0.2465  0.1203  2.0494  0.0404  0.0061     0.0053  1.0838     0.0618   -0.0264       0.0105
hdl_glgc_2013.txt.sumstats.gz  GWAS_tanning_UKBB.ma.sumstats.gz  0.0648  0.0221  2.9332  0.0034  0.1537     0.0659  0.9794     0.0549    -0.017       0.0049
hdl_glgc_2013.txt.sumstats.gz  MEGASTROKE.1.AS.TRANS.out.sumstats.gz -0.1573  0.0316 -4.9708  6.6680e-07  0.0124     0.0012  1.0447     0.0075   -0.0118       0.0049
hdl_glgc_2013.txt.sumstats.gz  META_ANALYSIS_10K23_beta_se_correctGC1_pdgene_sharing_280317.ma.sumstats.gz -0.0035  0.0398 -0.0878  0.9301  0.0562     0.0091  0.9781     0.0089    0.0069       0.0059
hdl_glgc_2013.txt.sumstats.gz  alzheimers_igap_2013.txt.sumstats.gz  0.1753  0.0778  2.2536  0.0242  0.0444     0.0217  1.0623     0.0302   -0.0255       0.0068
hdl_glgc_2013.txt.sumstats.gz  amd_csg_2016.txt.sumstats.gz  0.0619  0.0338  1.8301  0.0672  0.3819     0.1727  0.9153      0.042   -0.0024       0.0091
hdl_glgc_2013.txt.sumstats.gz  asd_robinson_2015.txt.sumstats.gz  0.0068  0.0393  0.1731  0.8625  0.1478      0.019  0.9712     0.0077    0.0013       0.0046
hdl_glgc_2013.txt.sumstats.gz  baso_cam_2016.txt.sumstats.gz -0.0323  0.035 -0.9236  0.3557   0.069     0.0094  0.9955     0.0191    0.0068       0.0055
hdl_glgc_2013.txt.sumstats.gz  baso_neut_sum_cam_2016.txt.sumstats.gz -0.0926  0.0304 -3.044  0.0023  0.1529     0.0184  0.9529     0.0224    0.0054       0.0073
hdl_glgc_2013.txt.sumstats.gz  baso_p_cam_2016.txt.sumstats.gz  0.0414  0.0353  1.1727  0.2409  0.0532     0.0089  1.0012       0.02    0.0036       0.0054
hdl_glgc_2013.txt.sumstats.gz  baso_p_gran_cam_2016.txt.sumstats.gz  0.0385  0.0345  1.1174  0.2638  0.0554     0.0082  0.9962     0.0179    0.0039       0.0055
hdl_glgc_2013.txt.sumstats.gz  bip_pgc_2014.txt.sumstats.gz  0.0206  0.0332  0.62  0.5352  0.3628     0.0314  1.0255     0.0079   -0.0042        0.005
hdl_glgc_2013.txt.sumstats.gz  bmi_giant_2015.txt.sumstats.gz -0.2648  0.0287 -9.2265  2.7961e-20  0.1381     0.0078  0.6462     0.0098   -0.1095       0.0058
hdl_glgc_2013.txt.sumstats.gz  cad_cardiogram_2015.txt.sumstats.gz -0.2561  0.0326 -7.8573  3.9265e-15  0.0664      0.005  0.8848     0.0088   -0.0123       0.0066
hdl_glgc_2013.txt.sumstats.gz  cd_iibdgc_2015.txt.sumstats.gz -0.0466  0.0338 -1.377  0.1685  0.3612     0.0457   1.026     0.0135   -0.0071       0.0055
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_ALLERGIC_RHINITIS_1000g_m01_u05_geno.txt.sumstats.gz -0.0535  0.0447 -1.1971  0.2313  0.0223     0.0041  1.0018     0.0082    0.0041        0.005
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_ASTHMA_1000g_m01_u05_geno.txt.sumstats.gz -0.0869  0.0375 -2.3174  0.0205  0.0574     0.0061  1.0014     0.0102   -0.0006        0.006
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_CANCER_1000g_m01_u05_geno.txt.sumstats.gz -0.0374  0.0414 -0.9042  0.3659  0.0255     0.0046  0.9957     0.0089    0.0046       0.0054
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_CARD_1000g_m01_u05_geno.txt.sumstats.gz -0.2606  0.0486 -5.3645  8.1156e-08  0.0304     0.0036  0.9994     0.0076     0.003       0.0055
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_DEPRESS_1000g_m01_u05_geno.txt.sumstats.gz -0.0437  0.0406 -1.0757  0.2821  0.0246     0.0034  1.0038     0.0072  6.0707e-05       0.0054
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_DERMATOPHYTOSIS_1000g_m01_u05_geno.txt.sumstats.gz  0.0387  0.0865  0.4477  0.6544  0.0153     0.0089  1.0044     0.0069   -0.0088       0.0048
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_DIA2_1000g_m01_u05_geno.txt.sumstats.gz -0.3907  0.0412 -9.487  2.3786e-21  0.0505     0.0046  1.0449     0.0095    0.0046       0.0065
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_DYSLIPID_1000g_m01_u05_geno.txt.sumstats.gz -0.2825  0.0477 -5.9222  3.1771e-09  0.0675     0.0085  1.0321     0.0188   -0.0016       0.0094
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_HEMORRHOIDS_1000g_m01_u05_geno.txt.sumstats.gz -0.0928  0.0692 -1.3415  0.1798  0.0095     0.0032  1.0019     0.0066   -0.0045        0.005
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_HERNIA_ABDOMINOPELVIC_1000g_m01_u05_geno.txt.sumstats.gz -0.0629  0.0585 -1.0742  0.2827  0.0174     0.0037  1.0099     0.0068    -0.001       0.0059
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_HYPER_1000g_m01_u05_geno.txt.sumstats.gz -0.2391  0.0247 -9.6808  3.6385e-22  0.1226     0.0063  1.0159     0.0109     0.003       0.0059
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_INSOMNIA_1000g_m01_u05_geno.txt.sumstats.gz -0.0149  0.0623 -0.239  0.8111  0.0101     0.0027  0.9925     0.0068   -0.0092       0.0051
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_IRON_DEFICIENCY_1000g_m01_u05_geno.txt.sumstats.gz -0.1799  0.0898 -2.0042  0.045  0.0052     0.0027  1.0028     0.0064   -0.0007       0.0047
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_IRRITABLE_BOWEL_1000g_m01_u05_geno.txt.sumstats.gz -0.1737  0.0658 -2.6423  0.0082  0.0107     0.0031  0.9998      0.007    0.0093       0.0048
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_MACDEGEN_1000g_m01_u05_geno.txt.sumstats.gz  0.0306  0.0714  0.4278  0.6688  0.0122     0.0077  1.0093     0.0117   -0.0036       0.0061
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_OSTIOA_1000g_m01_u05_geno.txt.sumstats.gz -0.081  0.0392 -2.066  0.0388  0.0321     0.0037  1.0206     0.0075    0.0042        0.005
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_OSTIOP_1000g_m01_u05_geno.txt.sumstats.gz  0.0654  0.0439  1.4888  0.1366  0.0245     0.0036  1.0098     0.0076    0.0038        0.005
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_PEPTIC_ULCERS_1000g_m01_u05_geno.txt.sumstats.gz -0.0287  0.0755 -0.3804  0.7036  0.0077     0.0029  0.9962     0.0066    -0.002       0.0049
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_PSYCHIATRIC_1000g_m01_u05_geno.txt.sumstats.gz -0.0052  0.0505 -0.1035  0.9175  0.0175      0.003  1.0041     0.0071    0.0025       0.0047
hdl_glgc_2013.txt.sumstats.gz  combined_ukb_gera_PVD_1000g_m01_u05_geno.txt.sumstats.gz -0.1488  0.0852 -1.7466  0.0807  0.0069     0.0028  1.0153     0.0063   -0.0016       0.0049
